sample	prefix	sample_barcode	flowcell_barcode	lane	pop	ploidy	fq1	fq2
K2S2-3	K2S2-3_96_L2	K2S2-3	HCLMHDRXX	L002	S2_S2-1	2	data/fastq/K2S2-3_96_L2_R1_001.fastq.gz	data/fastq/K2S2-3_96_L2_R2_001.fastq.gz
K2S2-3	K2S2-3_seq2_L2	K2S2-3	HJ3TTDRXX	L002	S2_S2-1	2	data/fastq/K2S2-3_seq2_L2_R1_001.fastq.gz	data/fastq/K2S2-3_seq2_L2_R2_001.fastq.gz
A2G-B9	A2G-B9_95_L1	A2G-B9	HCKV7DRXX	L001	Gainfarn	2	data/fastq/A2G-B9_95_L1_R1_001.fastq.gz	data/fastq/A2G-B9_95_L1_R2_001.fastq.gz
A2G-B9	A2G-B9_95_L2	A2G-B9	HCKV7DRXX	L002	Gainfarn	2	data/fastq/A2G-B9_95_L2_R1_001.fastq.gz	data/fastq/A2G-B9_95_L2_R2_001.fastq.gz
A2G-B9	A2G-B9_96_L1	A2G-B9	HCLMHDRXX	L001	Gainfarn	2	data/fastq/A2G-B9_96_L1_R1_001.fastq.gz	data/fastq/A2G-B9_96_L1_R2_001.fastq.gz
A2G-B9	A2G-B9_96_L2	A2G-B9	HCLMHDRXX	L002	Gainfarn	2	data/fastq/A2G-B9_96_L2_R1_001.fastq.gz	data/fastq/A2G-B9_96_L2_R2_001.fastq.gz
A2G-B9	A2G-B9_seq2_L2	A2G-B9	HJ3TTDRXX	L002	Gainfarn	2	data/fastq/A2G-B9_seq2_L2_R1_001.fastq.gz	data/fastq/A2G-B9_seq2_L2_R2_001.fastq.gz
A2S-12	A2S-12_95_L1	A2S-12	HCKV7DRXX	L001	Schneeberg	2	data/fastq/A2S-12_95_L1_R1_001.fastq.gz	data/fastq/A2S-12_95_L1_R2_001.fastq.gz
A2S-12	A2S-12_95_L2	A2S-12	HCKV7DRXX	L002	Schneeberg	2	data/fastq/A2S-12_95_L2_R1_001.fastq.gz	data/fastq/A2S-12_95_L2_R2_001.fastq.gz
A2S-12	A2S-12_96_L1	A2S-12	HCLMHDRXX	L001	Schneeberg	2	data/fastq/A2S-12_96_L1_R1_001.fastq.gz	data/fastq/A2S-12_96_L1_R2_001.fastq.gz
A2S-12	A2S-12_96_L2	A2S-12	HCLMHDRXX	L002	Schneeberg	2	data/fastq/A2S-12_96_L2_R1_001.fastq.gz	data/fastq/A2S-12_96_L2_R2_001.fastq.gz
A2S-12	A2S-12_seq2_L2	A2S-12	HJ3TTDRXX	L002	Schneeberg	2	data/fastq/A2S-12_seq2_L2_R1_001.fastq.gz	data/fastq/A2S-12_seq2_L2_R2_001.fastq.gz
RCB-B19	RCB-B19_95_L1	RCB-B19	HCKV7DRXX	L001	RCB	2	data/fastq/RCB-B19_95_L1_R1_001.fastq.gz	data/fastq/RCB-B19_95_L1_R2_001.fastq.gz
RCB-B19	RCB-B19_95_L2	RCB-B19	HCKV7DRXX	L002	RCB	2	data/fastq/RCB-B19_95_L2_R1_001.fastq.gz	data/fastq/RCB-B19_95_L2_R2_001.fastq.gz
RCB-B19	RCB-B19_96_L1	RCB-B19	HCLMHDRXX	L001	RCB	2	data/fastq/RCB-B19_96_L1_R1_001.fastq.gz	data/fastq/RCB-B19_96_L1_R2_001.fastq.gz
RCB-B19	RCB-B19_96_L2	RCB-B19	HCLMHDRXX	L002	RCB	2	data/fastq/RCB-B19_96_L2_R1_001.fastq.gz	data/fastq/RCB-B19_96_L2_R2_001.fastq.gz
RCB-B19	RCB-B19_seq2_L2	RCB-B19	HJ3TTDRXX	L002	RCB	2	data/fastq/RCB-B19_seq2_L2_R1_001.fastq.gz	data/fastq/RCB-B19_seq2_L2_R2_001.fastq.gz
B2MV-6	B2MV-6_95_L1	B2MV-6	HCKV7DRXX	L001	B2-MV	2	data/fastq/B2MV-6_95_L1_R1_001.fastq.gz	data/fastq/B2MV-6_95_L1_R2_001.fastq.gz
B2MV-6	B2MV-6_95_L2	B2MV-6	HCKV7DRXX	L002	B2-MV	2	data/fastq/B2MV-6_95_L2_R1_001.fastq.gz	data/fastq/B2MV-6_95_L2_R2_001.fastq.gz
B2MV-6	B2MV-6_96_L1	B2MV-6	HCLMHDRXX	L001	B2-MV	2	data/fastq/B2MV-6_96_L1_R1_001.fastq.gz	data/fastq/B2MV-6_96_L1_R2_001.fastq.gz
B2MV-6	B2MV-6_96_L2	B2MV-6	HCLMHDRXX	L002	B2-MV	2	data/fastq/B2MV-6_96_L2_R1_001.fastq.gz	data/fastq/B2MV-6_96_L2_R2_001.fastq.gz
B2MV-6	B2MV-6_seq2_L2	B2MV-6	HJ3TTDRXX	L002	B2-MV	2	data/fastq/B2MV-6_seq2_L2_R1_001.fastq.gz	data/fastq/B2MV-6_seq2_L2_R2_001.fastq.gz
B2MV-10	B2MV-10_95_L1	B2MV-10	HCKV7DRXX	L001	B2-MV	2	data/fastq/B2MV-10_95_L1_R1_001.fastq.gz	data/fastq/B2MV-10_95_L1_R2_001.fastq.gz
B2MV-10	B2MV-10_95_L2	B2MV-10	HCKV7DRXX	L002	B2-MV	2	data/fastq/B2MV-10_95_L2_R1_001.fastq.gz	data/fastq/B2MV-10_95_L2_R2_001.fastq.gz
B2MV-10	B2MV-10_96_L1	B2MV-10	HCLMHDRXX	L001	B2-MV	2	data/fastq/B2MV-10_96_L1_R1_001.fastq.gz	data/fastq/B2MV-10_96_L1_R2_001.fastq.gz
B2MV-10	B2MV-10_96_L2	B2MV-10	HCLMHDRXX	L002	B2-MV	2	data/fastq/B2MV-10_96_L2_R1_001.fastq.gz	data/fastq/B2MV-10_96_L2_R2_001.fastq.gz
