sample	prefix	sample_barcode	lane	ploidy	fq1	fq2	pop	elevation
A2-GX	A2_L1	A2-GX	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2_L1_R1_001_Hzuycvw0MOoq.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2_L1_R2_001_hdfrDMAxu1Wa.fastq.gz	DAG	low
A2-GX	A2_L2	A2-GX	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2_L2_R1_001_iCXcil8e8tbm.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2_L2_R2_001_SZtSNrh2yq2f.fastq.gz	DAG	low
A2-Sch-X	A2Sch_L1	A2-Sch-X	L1	2	/data/users/rchoudhury/snakeSNPcalling/data/fastq/A2Sch_L1_R1_001.fastq.gz	/data/users/rchoudhury/snakeSNPcalling/data/fastq/A2Sch_L1_R2_001.fastq.gz	DAS	high
B2-AUR-X	B2_L1	B2-AUR-X	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2_L1_R1_001_71wRs1AKF84U.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2_L1_R2_001_XJEXguJLQyhN.fastq.gz	DBM	high
B2-AUR-X	B2_L2	B2-AUR-X	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2_L2_R1_001_j6QkyjMFT5rm.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2_L2_R2_001_76z1xfAOcnjy.fastq.gz	DBM	high
K2-s2-X	K2_L1	K2-s2-X	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2_L1_R1_001_UBeVG7bx5BrQ.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2_L1_R2_001_kjUMHw6oVgq4.fastq.gz	DKS	low
K2-s2-X	K2_L2	K2-s2-X	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2_L2_R1_001_Bbaeom9tgrZ5.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/K2_L2_R2_001_aFYDl6WShFcO.fastq.gz	DKS	low
RCB-X	P2_L1	RCB-X	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/P2_L1_R1_001_97OLrI8r0Ckl.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/P2_L1_R2_001_KsDl112hCwGB.fastq.gz	DPR	high
RCB-X	P2_L2	RCB-X	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/P2_L2_R1_001_YuzpJdlNPUts.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/P2_L2_R2_001_c3pRgQEoJK7b.fastq.gz	DPR	high
V2-bX	V2_L1	V2-bX	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2_L1_R1_001_yd1alWwKsxte.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2_L1_R2_001_pvu9f02h4Hp1.fastq.gz	DVB	low
V2-bX	V2_L2	V2-bX	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2_L2_R1_001_8eWOBqaeDNFt.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/V2_L2_R2_001_IQgehG0Uho4i.fastq.gz	DVB	low
A2-GA5	A2G-A5_95_L1	A2-GA5	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-A5_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-A5_95_L1_R2_001.fastq.gz	DAG	low
A2-GA5	A2G-A5_95_L2	A2-GA5	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-A5_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-A5_95_L2_R2_001.fastq.gz	DAG	low
A2-GA5	A2G-A5_96_L1	A2-GA5	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-A5_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-A5_96_L1_R2_001.fastq.gz	DAG	low
A2-GA5	A2G-A5_96_L2	A2-GA5	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-A5_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-A5_96_L2_R2_001.fastq.gz	DAG	low
A2-GB13	A2G-B13_95_L1	A2-GB13	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B13_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B13_95_L1_R2_001.fastq.gz	DAG	low
A2-GB13	A2G-B13_95_L2	A2-GB13	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B13_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B13_95_L2_R2_001.fastq.gz	DAG	low
A2-GB13	A2G-B13_96_L1	A2-GB13	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B13_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B13_96_L1_R2_001.fastq.gz	DAG	low
A2-GB13	A2G-B13_96_L2	A2-GB13	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B13_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B13_96_L2_R2_001.fastq.gz	DAG	low
A2-GB14	A2G-B14_95_L1	A2-GB14	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B14_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B14_95_L1_R2_001.fastq.gz	DAG	low
A2-GB14	A2G-B14_95_L2	A2-GB14	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B14_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B14_95_L2_R2_001.fastq.gz	DAG	low
A2-GB14	A2G-B14_96_L1	A2-GB14	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B14_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B14_96_L1_R2_001.fastq.gz	DAG	low
A2-GB14	A2G-B14_96_L2	A2-GB14	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B14_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B14_96_L2_R2_001.fastq.gz	DAG	low
A2-GB16	A2GB-16_95_L1	A2-GB16	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2GB-16_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2GB-16_95_L1_R2_001.fastq.gz	DAG	low
A2-GB16	A2GB-16_95_L2	A2-GB16	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2GB-16_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2GB-16_95_L2_R2_001.fastq.gz	DAG	low
A2-GB16	A2GB-16_96_L1	A2-GB16	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2GB-16_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2GB-16_96_L1_R2_001.fastq.gz	DAG	low
A2-GB16	A2GB-16_96_L2	A2-GB16	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2GB-16_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2GB-16_96_L2_R2_001.fastq.gz	DAG	low
A2-GB17	A2G-B17_95_L1	A2-GB17	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B17_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B17_95_L1_R2_001.fastq.gz	DAG	low
A2-GB17	A2G-B17_95_L2	A2-GB17	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B17_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B17_95_L2_R2_001.fastq.gz	DAG	low
A2-GB17	A2G-B17_96_L1	A2-GB17	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B17_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B17_96_L1_R2_001.fastq.gz	DAG	low
A2-GB17	A2G-B17_96_L2	A2-GB17	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B17_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B17_96_L2_R2_001.fastq.gz	DAG	low
A2-GB17	A2G-B17_seq2_L2	A2-GB17	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B17_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B17_seq2_L2_R2_001.fastq.gz	DAG	low
A2-GB9	A2G-B9_95_L1	A2-GB9	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B9_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B9_95_L1_R2_001.fastq.gz	DAG	low
A2-GB9	A2G-B9_95_L2	A2-GB9	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B9_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B9_95_L2_R2_001.fastq.gz	DAG	low
A2-GB9	A2G-B9_96_L1	A2-GB9	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B9_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B9_96_L1_R2_001.fastq.gz	DAG	low
A2-GB9	A2G-B9_96_L2	A2-GB9	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B9_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B9_96_L2_R2_001.fastq.gz	DAG	low
A2-GB9	A2G-B9_seq2_L2	A2-GB9	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B9_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-B9_seq2_L2_R2_001.fastq.gz	DAG	low
A2-GC18	A2G-C18_95_L1	A2-GC18	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-C18_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-C18_95_L1_R2_001.fastq.gz	DAG	low
A2-GC18	A2G-C18_95_L2	A2-GC18	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-C18_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-C18_95_L2_R2_001.fastq.gz	DAG	low
A2-GC18	A2G-C18_96_L1	A2-GC18	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-C18_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-C18_96_L1_R2_001.fastq.gz	DAG	low
A2-GC18	A2G-C18_96_L2	A2-GC18	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-C18_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2G-C18_96_L2_R2_001.fastq.gz	DAG	low
A2-Sch-12	A2S-12_95_L1	A2-Sch-12	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-12_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-12_95_L1_R2_001.fastq.gz	DAS	high
A2-Sch-12	A2S-12_95_L2	A2-Sch-12	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-12_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-12_95_L2_R2_001.fastq.gz	DAS	high
A2-Sch-12	A2S-12_96_L1	A2-Sch-12	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-12_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-12_96_L1_R2_001.fastq.gz	DAS	high
A2-Sch-12	A2S-12_96_L2	A2-Sch-12	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-12_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-12_96_L2_R2_001.fastq.gz	DAS	high
A2-Sch-12	A2S-12_seq2_L2	A2-Sch-12	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-12_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-12_seq2_L2_R2_001.fastq.gz	DAS	high
A2-Sch-16	A2S-16_95_L1	A2-Sch-16	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-16_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-16_95_L1_R2_001.fastq.gz	DAS	high
A2-Sch-16	A2S-16_95_L2	A2-Sch-16	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-16_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-16_95_L2_R2_001.fastq.gz	DAS	high
A2-Sch-16	A2S-16_96_L1	A2-Sch-16	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-16_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-16_96_L1_R2_001.fastq.gz	DAS	high
A2-Sch-16	A2S-16_96_L2	A2-Sch-16	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-16_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-16_96_L2_R2_001.fastq.gz	DAS	high
A2-Sch-17	A2S-17_95_L1	A2-Sch-17	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-17_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-17_95_L1_R2_001.fastq.gz	DAS	high
A2-Sch-17	A2S-17_95_L2	A2-Sch-17	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-17_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-17_95_L2_R2_001.fastq.gz	DAS	high
A2-Sch-17	A2S-17_96_L1	A2-Sch-17	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-17_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-17_96_L1_R2_001.fastq.gz	DAS	high
A2-Sch-17	A2S-17_96_L2	A2-Sch-17	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-17_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-17_96_L2_R2_001.fastq.gz	DAS	high
A2-Sch-19	A2S-19_95_L1	A2-Sch-19	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-19_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-19_95_L1_R2_001.fastq.gz	DAS	high
A2-Sch-19	A2S-19_95_L2	A2-Sch-19	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-19_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-19_95_L2_R2_001.fastq.gz	DAS	high
A2-Sch-19	A2S-19_96_L1	A2-Sch-19	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-19_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-19_96_L1_R2_001.fastq.gz	DAS	high
A2-Sch-19	A2S-19_96_L2	A2-Sch-19	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-19_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-19_96_L2_R2_001.fastq.gz	DAS	high
A2-Sch-21	A2S-21_95_L1	A2-Sch-21	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-21_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-21_95_L1_R2_001.fastq.gz	DAS	high
A2-Sch-21	A2S-21_95_L2	A2-Sch-21	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-21_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-21_95_L2_R2_001.fastq.gz	DAS	high
A2-Sch-21	A2S-21_96_L1	A2-Sch-21	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-21_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-21_96_L1_R2_001.fastq.gz	DAS	high
A2-Sch-21	A2S-21_96_L2	A2-Sch-21	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-21_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-21_96_L2_R2_001.fastq.gz	DAS	high
A2-Sch-5	A2S-5_95_L1	A2-Sch-5	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-5_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-5_95_L1_R2_001.fastq.gz	DAS	high
A2-Sch-5	A2S-5_95_L2	A2-Sch-5	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-5_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-5_95_L2_R2_001.fastq.gz	DAS	high
A2-Sch-5	A2S-5_96_L1	A2-Sch-5	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-5_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-5_96_L1_R2_001.fastq.gz	DAS	high
A2-Sch-5	A2S-5_96_L2	A2-Sch-5	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-5_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-5_96_L2_R2_001.fastq.gz	DAS	high
A2-Sch-8	A2S-8_95_L1	A2-Sch-8	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-8_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-8_95_L1_R2_001.fastq.gz	DAS	high
A2-Sch-8	A2S-8_95_L2	A2-Sch-8	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-8_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-8_95_L2_R2_001.fastq.gz	DAS	high
A2-Sch-8	A2S-8_96_L1	A2-Sch-8	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-8_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-8_96_L1_R2_001.fastq.gz	DAS	high
A2-Sch-8	A2S-8_96_L2	A2-Sch-8	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-8_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/A2S-8_96_L2_R2_001.fastq.gz	DAS	high
B2-MV10	B2MV-10_95_L1	B2-MV10	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-10_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-10_95_L1_R2_001.fastq.gz	DBM	high
B2-MV10	B2MV-10_95_L2	B2-MV10	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-10_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-10_95_L2_R2_001.fastq.gz	DBM	high
B2-MV10	B2MV-10_96_L1	B2-MV10	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-10_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-10_96_L1_R2_001.fastq.gz	DBM	high
B2-MV10	B2MV-10_96_L2	B2-MV10	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-10_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-10_96_L2_R2_001.fastq.gz	DBM	high
B2-MV10	B2MV-10_seq2_L2	B2-MV10	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-10_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-10_seq2_L2_R2_001.fastq.gz	DBM	high
B2-MV18	B2MV-18_95_L1	B2-MV18	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-18_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-18_95_L1_R2_001.fastq.gz	DBM	high
B2-MV18	B2MV-18_95_L2	B2-MV18	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-18_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-18_95_L2_R2_001.fastq.gz	DBM	high
B2-MV18	B2MV-18_96_L1	B2-MV18	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-18_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-18_96_L1_R2_001.fastq.gz	DBM	high
B2-MV18	B2MV-18_96_L2	B2-MV18	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-18_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-18_96_L2_R2_001.fastq.gz	DBM	high
B2-MV18	B2MV-18_seq2_L2	B2-MV18	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-18_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-18_seq2_L2_R2_001.fastq.gz	DBM	high
B2-MV1	B2MV-1_95_L1	B2-MV1	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-1_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-1_95_L1_R2_001.fastq.gz	DBM	high
B2-MV1	B2MV-1_95_L2	B2-MV1	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-1_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-1_95_L2_R2_001.fastq.gz	DBM	high
B2-MV1	B2MV-1_96_L1	B2-MV1	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-1_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-1_96_L1_R2_001.fastq.gz	DBM	high
B2-MV1	B2MV-1_96_L2	B2-MV1	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-1_96_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-1_96_L2_R2_001.fastq.gz	DBM	high
B2-MV1	B2MV-1_seq2_L2	B2-MV1	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-1_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-1_seq2_L2_R2_001.fastq.gz	DBM	high
B2-MV20	B2MV-20_95_L1	B2-MV20	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-20_95_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-20_95_L1_R2_001.fastq.gz	DBM	high
B2-MV20	B2MV-20_95_L2	B2-MV20	L2	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-20_95_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-20_95_L2_R2_001.fastq.gz	DBM	high
B2-MV20	B2MV-20_96_L1	B2-MV20	L1	2	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-20_96_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/B2MV-20_96_L1_R2_001.fastq.gz	DBM	high
