sample	prefix	sample_barcode	lane	ploidy	fq1	fq2	pop	elevation
BUC-9	BUC9_L2	BUC-9	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC9_L2_R1_001_ngFfyMS5lYKd.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC9_L2_R2_001_PyzyHzkda4c2.fastq.gz	TBU	low
BUC-9	BUC9_seq2_L2	BUC-9	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC9_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/BUC9_seq2_L2_R2_001.fastq.gz	TBU	low
NAY-Aa3	NAYAa5_L1	NAY-Aa3	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYAa5_L1_R1_001_vwcLFbXwSiKe.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYAa5_L1_R2_001_CGwmNVLcPekj.fastq.gz	TNA	high
NAY-Aa3	NAYAa5_L2	NAY-Aa3	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYAa5_L2_R1_001_8xyyLEkQEa0V.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYAa5_L2_R2_001_IC5GE8MR2UBD.fastq.gz	TNA	high
NAY-Cb4	NAYCb4_L1	NAY-Cb4	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYCb4_L1_R1_001_1xzSgvvWyCpF.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYCb4_L1_R2_001_COTUyC4WQQNa.fastq.gz	TNA	high
NAY-Cb4	NAYCb4_L2	NAY-Cb4	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYCb4_L2_R1_001_29cMPUMD451Y.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYCb4_L2_R2_001_PAS12yzNyvYt.fastq.gz	TNA	high
NAY-Da2	NAYDa2_L1	NAY-Da2	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYDa2_L1_R1_001_6OQBVV1hLNd1.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYDa2_L1_R2_001_E7iPucBdVHqv.fastq.gz	TNA	high
NAY-Da2	NAYDa2_seq2_L1	NAY-Da2	L1	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYDa2_seq2_L1_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYDa2_seq2_L1_R2_001.fastq.gz	TNA	high
NAY-Da2	NAYDa2_L2	NAY-Da2	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYDa2_L2_R1_001_RQbQd3YK2rKq.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYDa2_L2_R2_001_A02nmpr6K3C0.fastq.gz	TNA	high
NAY-Da2	NAYDa2_seq2_L2	NAY-Da2	L2	4	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYDa2_seq2_L2_R1_001.fastq.gz	/data/users/rchoudhury/Biscutella_wgs_remapping_2025/data/raw/all/NAYDa2_seq2_L2_R2_001.fastq.gz	TNA	high
